Team,Score,Overs,RR,Inns,Opposition,Ground,Match Date,Scorecard
South Africa,55,23.2,2.35,1,v India,Cape Town,3 Jan 2024,Test # 2522
Pakistan,115,43.1,2.66,3,v Australia,Sydney,3 Jan 2024,Test # 2521
West Indies,120,35.2,3.39,3,v Australia,Adelaide,17 Jan 2024,Test # 2523
West Indies,121,41.4,2.9,1,v England,Lord's,10 Jul 2024,Test # 2538
England,122,39.4,3.07,4,v India,Rajkot,15 Feb 2024,Test # 2530
West Indies,136,47.0,2.89,3,v England,Lord's,10 Jul 2024,Test # 2538
West Indies,143,36.1,3.95,4,v England,Nottingham,18 Jul 2024,Test # 2539
West Indies,144,42.4,3.37,2,v South Africa,Providence,15 Aug 2024,Test # 2543
England,145,53.5,2.69,3,v India,Ranchi,23 Feb 2024,Test # 2531
Pakistan,146,55.5,2.61,3,v Bangladesh,Rawalpindi,21 Aug 2024,Test # 2544
India,153,34.5,4.39,2,v South Africa,Cape Town,3 Jan 2024,Test # 2522
Afghanistan,155,54.5,2.82,1,v Ireland,Tolerance Oval,28 Feb 2024,Test # 2532
South Africa,160,54.0,2.96,1,v West Indies,Providence,15 Aug 2024,Test # 2543
South Africa,162,72.5,2.22,2,v New Zealand,Mount Maunganui,4 Feb 2024,Test # 2528
New Zealand,162,45.2,3.57,1,v Australia,Christchurch,8 Mar 2024,Test # 2535
Australia,164,51.1,3.2,3,v New Zealand,Wellington,29 Feb 2024,Test # 2533
West Indies,175,52.0,3.36,3,v England,Birmingham,26 Jul 2024,Test # 2541
South Africa,176,36.5,4.77,3,v India,Cape Town,3 Jan 2024,Test # 2522
Bangladesh,178,68.4,2.59,2,v Sri Lanka,Chattogram,30 Mar 2024,Test # 2537
New Zealand,179,43.1,4.14,2,v Australia,Wellington,29 Feb 2024,Test # 2533
Bangladesh,182,49.2,3.68,4,v Sri Lanka,Sylhet,22 Mar 2024,Test # 2536
West Indies,188,62.1,3.02,1,v Australia,Adelaide,17 Jan 2024,Test # 2523
Bangladesh,188,51.3,3.65,2,v Sri Lanka,Sylhet,22 Mar 2024,Test # 2536
West Indies,193,72.3,2.66,3,v Australia,Brisbane,25 Jan 2024,Test # 2524
England,195,48.1,4.04,3,v India,Dharamsala,7 Mar 2024,Test # 2534
New Zealand,196,64.4,3.03,4,v Australia,Wellington,29 Feb 2024,Test # 2533
Sri Lanka,196,55.3,3.53,2,v England,Lord's,29 Aug 2024,Test # 2546
Zimbabwe,197,71.0,2.77,3,v Ireland,Belfast,25 Jul 2024,Test # 2540
Afghanistan,198,62.4,3.15,1,v Sri Lanka,Colombo (SSC),2 Feb 2024,Test # 2527
India,202,69.2,2.91,4,v England,Hyderabad,25 Jan 2024,Test # 2525
Australia,207,50.5,4.07,4,v West Indies,Brisbane,25 Jan 2024,Test # 2524
Zimbabwe,210,71.3,2.93,1,v Ireland,Belfast,25 Jul 2024,Test # 2540
New Zealand,211,77.3,2.72,2,v South Africa,Hamilton,13 Feb 2024,Test # 2529
Afghanistan,218,75.4,2.88,3,v Ireland,Tolerance Oval,28 Feb 2024,Test # 2532
England,218,57.4,3.78,1,v India,Dharamsala,7 Mar 2024,Test # 2534
West Indies,222,66.2,3.34,4,v South Africa,Providence,15 Aug 2024,Test # 2543
West Indies,233,91.5,2.53,2,v South Africa,Port of Spain,7 Aug 2024,Test # 2542
South Africa,235,69.5,3.36,3,v New Zealand,Hamilton,13 Feb 2024,Test # 2529
Sri Lanka,236,74.0,3.18,1,v England,Manchester,21 Aug 2024,Test # 2545
South Africa,242,97.2,2.48,1,v New Zealand,Hamilton,13 Feb 2024,Test # 2529
South Africa,246,80.4,3.04,3,v West Indies,Providence,15 Aug 2024,Test # 2543
England,246,64.3,3.81,1,v India,Hyderabad,25 Jan 2024,Test # 2525
South Africa,247,80.0,3.08,4,v New Zealand,Mount Maunganui,4 Feb 2024,Test # 2528
Ireland,250,58.3,4.27,2,v Zimbabwe,Belfast,25 Jul 2024,Test # 2540
England,251,54.3,4.6,3,v Sri Lanka,Lord's,29 Aug 2024,Test # 2546
England,253,55.5,4.53,2,v India,Visakhapatnam,2 Feb 2024,Test # 2526
India,255,78.3,3.24,3,v England,Visakhapatnam,2 Feb 2024,Test # 2526
Australia,256,68.0,3.76,2,v New Zealand,Christchurch,8 Mar 2024,Test # 2535
Ireland,263,83.4,3.14,2,v Afghanistan,Tolerance Oval,28 Feb 2024,Test # 2532
Pakistan,274,85.1,3.21,1,v Bangladesh,Rawalpindi,30 Aug 2024,Test # 2547
Sri Lanka,280,68.0,4.11,1,v Bangladesh,Sylhet,22 Mar 2024,Test # 2536
West Indies,282,75.1,3.75,1,v England,Birmingham,26 Jul 2024,Test # 2541
Australia,283,81.1,3.48,2,v West Indies,Adelaide,17 Jan 2024,Test # 2523
England,292,69.2,4.21,4,v India,Visakhapatnam,2 Feb 2024,Test # 2526
Afghanistan,296,112.3,2.63,3,v Sri Lanka,Colombo (SSC),2 Feb 2024,Test # 2527
Australia,299,109.4,2.72,2,v Pakistan,Sydney,3 Jan 2024,Test # 2521
India,307,103.2,2.97,2,v England,Ranchi,23 Feb 2024,Test # 2531
West Indies,311,108.0,2.87,1,v Australia,Brisbane,25 Jan 2024,Test # 2524
Pakistan,313,77.1,4.05,1,v Australia,Sydney,3 Jan 2024,Test # 2521
Bangladesh,318,85.0,3.74,4,v Sri Lanka,Chattogram,30 Mar 2024,Test # 2537
England,319,71.1,4.48,2,v India,Rajkot,15 Feb 2024,Test # 2530
Sri Lanka,326,89.3,3.64,3,v England,Manchester,21 Aug 2024,Test # 2545
England,353,104.5,3.36,1,v India,Ranchi,23 Feb 2024,Test # 2531
South Africa,357,117.4,3.03,1,v West Indies,Port of Spain,7 Aug 2024,Test # 2542
England,358,85.3,4.18,2,v Sri Lanka,Manchester,21 Aug 2024,Test # 2545
England,371,90.0,4.12,2,v West Indies,Lord's,10 Jul 2024,Test # 2538
New Zealand,372,108.2,3.43,3,v Australia,Christchurch,8 Mar 2024,Test # 2535
England,376,75.4,4.96,2,v West Indies,Birmingham,26 Jul 2024,Test # 2541
Australia,383,115.1,3.32,1,v New Zealand,Wellington,29 Feb 2024,Test # 2533
India,396,112.0,3.53,1,v England,Visakhapatnam,2 Feb 2024,Test # 2526
England,416,88.3,4.7,1,v West Indies,Nottingham,18 Jul 2024,Test # 2539
Sri Lanka,418,110.4,3.77,3,v Bangladesh,Sylhet,22 Mar 2024,Test # 2536
England,420,102.1,4.11,3,v India,Hyderabad,25 Jan 2024,Test # 2525
England,425,92.2,4.6,3,v West Indies,Nottingham,18 Jul 2024,Test # 2539
England,427,102.0,4.18,1,v Sri Lanka,Lord's,29 Aug 2024,Test # 2546
India,436,121.0,3.6,2,v England,Hyderabad,25 Jan 2024,Test # 2525
Sri Lanka,439,109.2,4.01,2,v Afghanistan,Colombo (SSC),2 Feb 2024,Test # 2527
India,445,130.5,3.4,1,v England,Rajkot,15 Feb 2024,Test # 2530
West Indies,457,111.5,4.08,2,v England,Nottingham,18 Jul 2024,Test # 2539
India,477,124.1,3.84,2,v England,Dharamsala,7 Mar 2024,Test # 2534
New Zealand,511,144.0,3.54,1,v South Africa,Mount Maunganui,4 Feb 2024,Test # 2528
Sri Lanka,531,159.0,3.33,1,v Bangladesh,Chattogram,30 Mar 2024,Test # 2537
Bangladesh,565,167.3,3.37,2,v Pakistan,Rawalpindi,21 Aug 2024,Test # 2544
